City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cusset,0,FR,1562257014,29,46.13,3.46,90.0,6.93
Ambon,0,FR,1562257014,37,47.55,-2.56,86.0,13.87
Mount Gambier,3,AU,1562257015,93,-37.83,140.78,42.8,4.7
Mutoko,0,ZW,1562257015,27,-17.4,32.23,70.14,6.64
Champerico,40,MX,1562257015,65,16.38,-93.6,80.6,4.05
Enshi,100,CN,1562257015,95,30.29,109.48,60.78,1.79
Sao Filipe,84,CV,1562257015,86,14.9,-24.5,73.74,17.6
Grenville,75,CA,1562257015,65,45.62,-74.6,88.0,4.7
Busing,0,PH,1562257016,65,13.15,122.97,84.9,2.13
Aqtobe,0,KZ,1562256840,25,50.28,57.21,84.2,4.47
Lac-Megantic,20,CA,1562257016,61,45.58,-70.88,86.0,2.24
Awjilah,0,LY,1562257016,12,29.14,21.3,97.32,13.8
Fortuna,90,US,1562257016,100,40.6,-124.16,62.01,4.7
Marsh Harbour,99,BS,1562257016,68,26.54,-77.06,83.64,6.38
Hariana,47,IN,1562257016,14,31.64,75.84,106.5,2.13
Tautira,100,PF,1562257016,77,-17.73,-149.15,69.8,1.12
Deputatskiy,100,RU,1562257017,85,69.3,139.9,42.6,3.98
Lithakia,0,GR,1562257017,38,37.72,20.83,93.2,4.7
Goderich,2,CA,1562256801,67,43.74,-81.71,82.99,8.99
Katsuura,20,JP,1562257017,88,33.93,134.5,73.4,3.36
Ketchikan,90,US,1562256957,87,55.34,-131.65,57.2,3.36
Sokolo,77,ML,1562257017,20,14.74,-6.12,105.24,5.95
Bilma,32,NE,1562257017,16,18.69,12.92,105.96,0.4
Timizart,13,DZ,1562257017,90,36.8,4.25,74.1,3.42
San Quintin,0,PH,1562257017,85,17.54,120.52,76.08,3.51
Bafang,100,CM,1562257018,93,5.16,10.18,74.28,2.68
Oum Hadjer,0,TD,1562257018,26,13.3,19.7,100.92,3.36
Kaeo,31,NZ,1562257018,95,-35.1,173.78,45.0,4.0
Inta,76,RU,1562257018,47,66.04,60.13,80.22,10.65
Trelew,0,AR,1562256872,60,-43.25,-65.31,36.48,14.92
Dingzhou,0,CN,1562257018,65,38.51,115.0,78.8,15.66
Ossora,1,RU,1562257018,90,59.24,163.07,49.44,1.39
Hof,0,DE,1562257019,28,50.32,11.92,79.0,9.17
Gurjaani,20,GE,1562257019,48,41.75,45.79,82.4,24.16
Vytegra,73,RU,1562257019,78,61.01,36.45,58.8,4.92
Troyes,0,FR,1562256762,25,48.3,4.07,86.0,6.93
Naco,1,MX,1562257019,28,31.32,-109.94,84.99,5.82
Sarangani,100,PH,1562257019,74,5.4,125.46,80.4,6.78
Jodhpur,96,IN,1562257019,43,26.3,73.04,97.32,23.04
Tasiilaq,20,GL,1562257020,47,65.61,-37.64,55.4,14.99
Beloha,90,MG,1562257020,72,-25.17,45.06,68.16,8.68
La Ronge,75,CA,1562257020,72,55.1,-105.3,59.0,11.41
Kolosovka,35,RU,1562257020,92,56.47,73.61,61.68,7.61
Planaltina,0,BR,1562257020,30,-15.62,-47.66,82.99,12.75
Zastron,0,ZA,1562257020,21,-30.3,27.08,56.1,9.62
Shihezi,100,CN,1562257020,35,44.3,86.03,76.44,11.86
Chama,100,ZM,1562257021,45,-11.22,33.16,73.74,1.99
Nemuro,96,JP,1562256848,96,43.32,145.57,52.68,10.42
Havelock,1,US,1562257074,62,34.88,-76.9,91.99,9.17
Rabo de Peixe,75,PT,1562257074,93,37.8,-25.58,66.2,8.05
Lagoa,20,PT,1562257075,77,37.14,-8.45,73.0,13.87
Balakhninskiy,60,RU,1562257075,61,58.01,114.28,50.7,0.4
Paamiut,82,GL,1562257075,72,61.99,-49.67,44.76,6.58
Ferkessedougou,97,CI,1562257075,57,9.6,-5.2,88.5,7.34
Port Lincoln,0,AU,1562257075,72,-34.72,135.86,57.0,17.4
Odienne,83,CI,1562257075,69,9.51,-7.57,84.72,2.93
Dembi Dolo,83,ET,1562257075,83,8.53,34.8,75.72,1.63
Bristol,97,GB,1562256854,40,51.45,-2.6,78.01,6.93
Qaanaaq,92,GL,1562256907,55,77.48,-69.36,43.32,1.45
Tateyama,100,JP,1562257076,92,36.66,137.31,73.0,3.42
Bambous Virieux,40,MU,1562257076,78,-20.34,57.76,71.6,9.17
Monroe,75,US,1562256812,89,41.91,-83.4,87.01,5.82
Wilmington Island,1,US,1562257076,56,32.0,-80.97,93.2,4.7
Ahipara,34,NZ,1562257076,69,-35.17,173.16,57.18,25.1
Nyurba,33,RU,1562257076,97,63.29,118.35,50.52,2.33
Husavik,0,CA,1562257077,33,50.56,-96.99,75.0,7.65
Saurimo,0,AO,1562257077,27,-9.66,20.4,87.8,5.82
Lavrentiya,85,RU,1562257077,88,65.58,-170.99,47.28,8.61
Morondava,0,MG,1562257077,73,-20.3,44.28,77.7,14.83
Clara,90,IE,1562257077,55,53.34,-7.61,75.0,3.0
Quimper,0,FR,1562256886,39,48.0,-4.1,84.99,6.93
Belgrade,0,RS,1562257077,50,44.82,20.46,78.8,11.41
Lorengau,39,PG,1562257078,80,-2.02,147.27,78.24,2.64
Aparecida do Taboado,100,BR,1562257078,87,-20.08,-51.1,69.24,6.15
Port Augusta,0,AU,1562257078,93,-32.49,137.76,44.01,5.82
Taoudenni,64,ML,1562257078,6,22.68,-3.98,116.76,17.25
Plyussa,100,RU,1562257078,41,58.42,29.37,62.22,8.01
Aloleng,54,PH,1562257078,75,16.13,119.78,84.9,11.3
Newport,83,GB,1562257078,40,51.59,-3.0,79.0,6.93
Arlit,0,NE,1562257079,10,18.74,7.39,107.76,2.71
Gemena,92,CD,1562257079,59,3.25,19.78,85.98,1.95
Baoqing,12,CN,1562257079,92,46.32,132.2,58.08,5.64
Patnongon,94,PH,1562257079,71,10.91,121.99,81.3,2.59
Avera,1,US,1562257079,59,33.19,-82.53,91.4,5.82
Katherine,2,AU,1562257079,43,-14.47,132.26,55.4,9.17
Guerrero Negro,0,MX,1562257079,89,27.97,-114.04,64.02,10.83
Norman Wells,40,CA,1562257080,67,65.28,-126.83,60.8,9.17
Tura,85,RU,1562257080,57,64.27,100.22,73.92,8.19
Gornopravdinsk,33,RU,1562257080,63,60.06,69.92,69.78,3.0
Bela,5,PK,1562257080,61,26.23,66.31,88.32,5.26
Grindavik,75,IS,1562257080,76,63.84,-22.43,51.8,13.87
Puerto Rico,58,CO,1562257078,58,1.91,-75.15,69.06,4.34
Harihar,92,IN,1562256872,79,14.52,75.8,75.72,17.31
Manica,20,MZ,1562257080,63,-18.94,32.88,66.2,5.79
De-Kastri,95,RU,1562257081,95,51.48,140.77,52.32,9.4
Necochea,100,AR,1562257134,72,-38.55,-58.74,46.0,13.0
Bonao,40,DO,1562257116,58,18.94,-70.41,87.8,13.87
Alofi,18,NU,1562257134,69,-19.06,-169.92,73.4,12.75
Karaidel,0,RU,1562257135,82,55.83,56.91,65.28,11.07
Nantong,100,CN,1562257135,81,31.98,120.89,80.01,5.95
Vostok,38,RU,1562257135,95,46.45,135.83,56.82,3.13
Waitara,28,NZ,1562257135,93,-39.0,174.24,54.0,14.0
Naushki,0,RU,1562257135,48,50.39,106.11,58.8,5.59
Bonthe,98,SL,1562257135,83,7.53,-12.5,80.58,14.34
Meadow Lake,40,CA,1562257136,72,54.13,-108.44,60.8,6.93
Blagoyevo,71,RU,1562257136,43,63.37,47.92,70.32,6.64
Nishihara,20,JP,1562257136,88,35.74,139.53,71.01,11.41
Namatanai,81,PG,1562257136,82,-3.66,152.44,78.6,14.47
Yulara,0,AU,1562257136,49,-25.24,130.99,46.4,6.93
Constitucion,20,MX,1562257136,63,23.99,-104.67,70.0,3.36
Romanovskaya,98,RU,1562257137,83,47.54,42.02,67.62,8.52
Pozo Colorado,100,PY,1562257137,48,-23.49,-58.8,54.12,4.54
Naze,100,NG,1562257137,79,5.43,7.07,80.4,9.06
Lazaro Cardenas,40,MX,1562257137,36,28.39,-105.62,82.0,4.7
Nieuw Amsterdam,40,SR,1562257137,79,5.88,-55.08,86.0,9.17
Mokhsogollokh,94,RU,1562257137,83,61.4,128.95,46.38,4.23
Iqaluit,75,CA,1562257138,75,63.75,-68.52,46.4,18.34
Kremnica,0,SK,1562257138,31,48.71,18.92,77.0,12.75
Moba,0,CD,1562257138,32,-7.04,29.77,75.0,7.63
Rocha,26,UY,1562257138,66,-34.48,-54.34,45.3,20.6
Honiara,40,SB,1562257138,100,-9.43,159.96,73.4,9.17
Derzhavinsk,33,KZ,1562257138,51,51.1,66.31,73.2,8.93
Qasigiannguit,20,GL,1562257139,57,68.82,-51.19,50.0,6.93
Pangoa,98,PE,1562257139,90,-12.12,-73.0,73.02,2.15
Manpur,75,IN,1562257139,79,24.8,85.03,87.8,4.7
Pesca,3,CO,1562257139,54,5.56,-73.05,60.96,7.2
Bang Mun Nak,100,TH,1562257139,78,16.03,100.38,78.96,13.96
Barinas,0,VE,1562257139,54,8.64,-70.23,85.08,5.19
Vao,53,EE,1562257139,42,59.1,26.19,61.14,8.86
Berlevag,75,NO,1562257140,93,70.86,29.09,46.4,6.93
Atar,0,MR,1562257140,6,20.52,-13.05,114.96,17.27
San Policarpo,80,PH,1562257140,80,12.18,125.51,80.04,4.94
Zhezkazgan,75,KZ,1562257140,69,47.8,67.71,73.4,11.18
Gua Musang,43,MY,1562257140,92,4.88,101.97,66.72,1.45
Drayton Valley,100,CA,1562257035,88,53.22,-114.98,51.96,4.05
Touros,75,BR,1562257141,70,-5.2,-35.46,86.0,10.29
Bandarbeyla,18,SO,1562257141,31,9.49,50.81,94.62,17.05
Ankazoabo,0,MG,1562257141,43,-22.29,44.51,66.54,7.2
Suwalki,29,PL,1562257194,63,54.11,22.93,59.88,14.9
Pucallpa,40,PE,1562257194,331,-8.38,-74.54,35.6,5.82
Edea,40,CM,1562257195,78,3.8,10.13,82.4,4.7
Dawlatabad,0,AF,1562257195,18,36.41,64.91,87.78,8.97
Sioux Lookout,90,CA,1562257195,72,50.1,-91.92,66.2,2.24
Salumbar,75,IN,1562257195,78,24.14,74.05,82.4,4.7
Yumen,74,CN,1562257195,8,40.29,97.04,84.18,15.08
Gambela,83,ET,1562257195,83,8.25,34.59,75.72,1.63
Anloga,20,GH,1562257078,78,5.79,0.9,82.4,16.11
Starominskaya,5,RU,1562257196,56,46.54,39.06,78.42,14.79
Lakes Entrance,29,AU,1562257196,96,-37.88,147.99,44.01,4.07
Peniche,20,PT,1562257196,72,39.36,-9.38,78.01,13.87
Chhatak,100,BD,1562257196,84,25.03,91.67,83.28,8.14
Banjarmasin,49,ID,1562257196,86,-3.32,114.59,77.16,5.3
Tibati,88,CM,1562257197,86,6.47,12.63,76.44,3.67
Nakamura,40,JP,1562257197,88,35.17,136.87,78.01,3.36
Shache,0,CN,1562257197,67,38.42,77.24,88.0,1.01
Chaplynka,56,UA,1562257197,40,46.36,33.54,79.68,15.14
Praia da Vitoria,75,PT,1562257197,77,38.73,-27.07,71.01,7.76
Kanniyakumari,71,IN,1562257197,85,8.08,77.57,81.66,17.45
Eresos,0,GR,1562257197,28,39.17,25.93,95.0,9.17
Tilichiki,16,RU,1562257198,93,60.47,166.1,46.02,1.59
El Carmen,90,AR,1562257198,71,-24.39,-65.26,51.8,5.82
Leningradskiy,100,RU,1562257198,99,69.38,178.42,35.22,3.53
Cabedelo,75,BR,1562257198,74,-6.97,-34.84,84.2,11.41
San Onofre,72,CO,1562257198,73,9.74,-75.52,81.48,5.08
Kinablangan,97,PH,1562257198,90,7.69,126.55,71.4,3.87
Suntar,43,RU,1562257199,96,62.16,117.65,55.38,4.36
High Level,75,CA,1562256912,76,58.52,-117.13,57.2,6.93
Tawau,75,MY,1562257199,100,4.26,117.89,75.2,1.12
Los Llanos de Aridane,40,ES,1562257199,69,28.66,-17.92,75.2,12.75
Chegutu,0,ZW,1562257199,20,-18.13,30.15,76.44,3.67
Luang Prabang,100,LA,1562257199,99,19.89,102.14,69.96,1.45
Rome,0,IT,1562257014,33,41.89,12.48,95.0,6.93
Port Hardy,90,CA,1562257200,87,50.7,-127.42,57.2,3.91
Ayan,0,IR,1562257200,41,38.23,44.7,66.0,7.61
Inuvik,90,CA,1562257200,82,68.36,-133.71,57.2,11.41
Hamilton,75,CA,1562256972,69,43.26,-79.87,87.01,5.82
Sao Joao da Barra,0,BR,1562257200,40,-21.64,-41.05,87.8,8.68
Ayutla,0,MX,1562257200,59,20.13,-104.35,71.22,0.11
Aden,95,YE,1562257201,25,12.79,45.03,99.84,18.88
Henties Bay,0,NA,1562257201,82,-22.12,14.28,60.01,8.01
Xifeng,0,CN,1562257201,72,42.73,124.72,70.14,7.27
Zhigansk,92,RU,1562257254,76,66.77,123.37,48.9,6.76
Sinnamary,3,GF,1562257254,81,5.38,-52.96,80.94,14.0
Kavaratti,100,IN,1562257255,78,10.57,72.64,84.0,18.12
Ushibuka,100,JP,1562257255,85,32.19,130.02,74.1,1.92
Burns Lake,100,CA,1562257255,92,54.23,-125.76,51.42,2.93
Garowe,50,SO,1562257255,34,8.41,48.48,90.66,18.63
Mindelo,40,PT,1562257255,73,41.31,-8.72,77.0,5.82
Havoysund,75,NO,1562257255,100,71.0,24.66,44.6,21.92
Wanxian,100,CN,1562257255,93,30.8,108.39,65.1,1.83
Yarada,75,IN,1562257256,79,17.65,83.27,86.0,10.29
Rafaela,34,AR,1562257256,36,-31.25,-61.49,57.0,1.99
Brcko,0,BA,1562257256,72,44.87,18.81,77.0,6.93
Santa Maria,0,BR,1562257256,30,-16.02,-48.01,82.99,12.75
Sal Rei,20,CV,1562257256,69,16.18,-22.92,82.4,20.8
Khipro,0,PK,1562257256,51,25.83,69.38,94.98,23.85
Caiaponia,80,BR,1562257256,38,-16.96,-51.81,82.56,13.91
Banda Aceh,100,ID,1562257257,76,5.56,95.32,84.36,10.13
Bouna,82,CI,1562257257,63,9.27,-3.0,86.88,7.47
Kieta,70,PG,1562257257,81,-6.22,155.63,78.78,5.1
Vargashi,66,RU,1562257257,88,55.36,65.85,63.48,12.48
Gushikawa,75,JP,1562257257,88,26.35,127.87,80.6,8.05
Nizhneudinsk,0,RU,1562257257,67,54.91,99.03,59.52,4.16
Petropavlovsk-Kamchatskiy,90,RU,1562257258,100,53.05,158.65,48.2,4.47
Serenje,16,ZM,1562257258,54,-13.23,30.22,66.0,7.58
Hundested,100,DK,1562257258,93,55.97,11.85,59.0,9.17
Vila Franca do Campo,75,PT,1562257258,93,37.72,-25.43,66.2,8.05
Tromso,75,NO,1562257258,81,69.65,18.96,48.2,10.29
Mirpur Sakro,75,PK,1562257258,70,24.55,67.63,87.8,14.99
San Angelo,20,US,1562257228,58,31.46,-100.44,86.0,11.41
Pacific Grove,90,US,1562257053,76,36.62,-121.92,62.01,4.7
Kysyl-Syr,100,RU,1562257259,98,63.9,122.77,48.18,6.85
Cabinda,20,AO,1562257259,65,-5.56,12.19,78.8,9.17
Strezhevoy,0,RU,1562257259,88,60.73,77.6,69.8,6.71
Bhadasar,36,IN,1562257259,19,28.3,74.31,106.68,9.71
Kaka,0,TM,1562257259,10,37.35,59.62,94.8,8.97
Kaabong,36,UG,1562257260,68,3.51,34.14,75.18,2.66
Patacamaya,0,BO,1562257260,21,-17.23,-67.92,50.7,7.96
Mogadishu,52,SO,1562257260,69,2.04,45.34,78.96,16.71
Alugan,93,PH,1562257260,92,12.22,125.48,76.8,2.17
Naron,20,ES,1562257260,88,43.52,-8.15,69.01,6.93
Itanagar,100,IN,1562257260,91,27.1,93.63,77.88,3.67
Dhidhdhoo,94,MV,1562257260,77,6.88,73.1,83.64,11.18
Merauke,67,ID,1562257261,79,-8.49,140.4,76.98,18.05
Duekoue,100,CI,1562257261,76,6.74,-7.35,82.2,4.25
Saint-Gabriel,1,CA,1562257261,48,46.3,-73.38,84.99,11.41
Pahrump,1,US,1562257123,13,36.21,-115.98,80.6,5.82
Izyum,88,UA,1562257261,58,49.21,37.25,68.7,8.1
Bonavista,100,CA,1562257314,82,48.65,-53.11,51.01,4.0
Panzhihua,100,CN,1562257314,74,26.59,101.72,70.32,3.24
Evensk,100,RU,1562257315,94,61.92,159.24,46.74,1.36
Adrar,0,DZ,1562257315,6,27.87,-0.29,113.0,10.29
Mirnyy,63,RU,1562257315,63,56.57,36.46,57.54,13.89
Beterou,100,BJ,1562257315,81,9.2,2.26,81.84,1.63
Flinders,90,AU,1562257315,100,-34.58,150.85,59.0,4.7
Comodoro Rivadavia,20,AR,1562257315,59,-45.87,-67.48,37.4,2.24
Yefremov,0,RU,1562257316,65,53.14,38.12,61.68,12.24
Erdenet,0,MN,1562257316,76,49.03,104.04,51.78,6.33
Cockburn Town,40,TC,1562257316,66,21.46,-71.14,86.0,11.41
Nuuk,75,GL,1562257316,57,64.17,-51.74,51.8,10.29
Arara,75,BR,1562257316,65,-6.83,-35.76,82.4,10.29
Bambanglipuro,83,ID,1562257316,85,-7.95,110.28,77.7,14.97
Yatou,40,CM,1562257316,78,3.63,9.81,82.4,4.7
Liverpool,0,GB,1562257297,42,53.41,-2.98,72.0,13.87
Suihua,96,CN,1562257317,75,46.64,126.99,65.82,11.23
Khasan,100,RU,1562257317,97,42.43,130.64,60.06,3.36
Laguna,40,BZ,1562257317,74,16.17,-88.94,86.0,4.7
Cam Ranh,20,VN,1562257317,62,11.92,109.15,86.0,11.41
Sobolevo,52,RU,1562257317,71,54.43,31.9,59.34,13.44
Gandu,0,CN,1562257317,50,35.89,102.33,59.34,2.77
Pipri,89,IN,1562257318,58,24.21,83.02,89.76,10.38
Saint Anthony,1,US,1562257318,59,43.97,-111.68,62.01,4.7
Shubarkuduk,0,KZ,1562257318,28,49.15,56.49,83.64,8.32
Ust-Tsilma,77,RU,1562257318,82,65.44,52.15,65.28,4.5
Kindu,1,CD,1562257318,26,-2.95,25.92,93.72,3.98
Trincomalee,82,LK,1562257318,67,8.58,81.23,82.02,6.44
Fukue,40,JP,1562257319,88,35.03,136.69,78.01,3.36
Winnemucca,1,US,1562257319,30,40.97,-117.74,69.8,4.7
Valparaiso,1,US,1562257073,62,41.47,-87.06,87.01,8.05
Chiang Klang,100,TH,1562257319,98,19.29,100.86,71.4,2.68
Bintulu,75,MY,1562257319,94,3.17,113.03,78.8,3.36
Manzhouli,81,CN,1562257319,54,49.6,117.43,54.84,18.41
Gondanglegi,59,ID,1562257319,94,-7.75,112.01,72.12,4.32
Yazman,0,SY,1562257320,11,36.74,38.46,102.36,14.2
Bastia,20,IT,1562257320,65,44.6,8.98,88.0,8.05
Kalmunai,98,LK,1562257320,62,7.42,81.82,83.46,3.11
Zhuhai,20,CN,1562257320,53,40.71,112.04,71.6,6.71
Biak,100,ID,1562257320,98,-0.91,122.88,63.48,3.38
Nangwa,88,TZ,1562257320,40,-4.5,35.44,72.48,6.58
Chone,100,EC,1562257321,90,-0.7,-80.09,74.46,11.34
Ambilobe,100,MG,1562257321,64,-13.19,49.05,77.7,3.8
